date,need_M,need_O,need_IP,need_A,need_N
2025-03-01,4,4,4,2,2
2025-03-02,4,4,4,2,2
2025-03-03,4,4,4,2,2
2025-03-04,4,4,4,2,2
2025-03-05,4,4,4,2,2
2025-03-06,4,4,4,2,2
2025-03-07,4,4,4,2,2
2025-03-08,4,4,4,2,2
2025-03-09,4,4,4,2,2
2025-03-10,4,4,4,2,2
2025-03-11,4,4,4,2,2
2025-03-12,4,4,4,2,2
2025-03-13,4,4,4,2,2
2025-03-14,4,4,4,2,2
2025-03-15,4,4,4,2,2
2025-03-16,4,4,4,2,2
2025-03-17,4,4,4,2,2
2025-03-18,4,4,4,2,2
2025-03-19,4,4,4,2,2
2025-03-20,4,4,4,2,2
2025-03-21,4,4,4,2,2
2025-03-22,4,4,4,2,2
2025-03-23,4,4,4,2,2
2025-03-24,4,4,4,2,2
2025-03-25,4,4,4,2,2
2025-03-26,4,4,4,2,2
2025-03-27,4,4,4,2,2
2025-03-28,4,4,4,2,2
2025-03-29,4,4,4,2,2
2025-03-30,4,4,4,2,2
2025-03-31,4,4,4,2,2
